actual_price,discount_price,product_link,product_general_img_link
19.990.000₫,18.590.000₫,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,https://cdn.tgdd.vn/Products/Images/44/231244/macbook-air-m1-2020-gray-600x600.jpg
24.990.000₫,24.490.000₫,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022,https://cdn.tgdd.vn/Products/Images/44/282827/apple-macbook-air-m2-2022-xanh-600x600.jpg
32.990.000₫,32.090.000₫,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024-16gb-256gb,https://cdn.tgdd.vn/Products/Images/44/322633/macbook-air-13-inch-m3-2024-16gb-256gb-050324-110756-600x600.jpg
32.990.000₫,27.590.000₫,https://www.thegioididong.com/laptop/macbook-air-15-inch-m2-2023-70w,https://cdn.tgdd.vn/Products/Images/44/322939/macbook-air-15-inch-m3-2024-70w-130324-032500-600x600.jpg
44.990.000₫,44.490.000₫,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m3-2023-16gb,https://cdn.tgdd.vn/Products/Images/44/320981/macbook-pro-14-inch-m3-2023-16gb-thumb-600x600.jpg
29.990.000₫,29.090.000₫,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb-10gpu,https://cdn.tgdd.vn/Products/Images/44/325306/apple-macbook-air-m2-2022-16gb-256gb-10gpu-thumb-1-600x600.jpg
49.990.000₫,49.090.000₫,https://www.thegioididong.com/laptop/apple-macbook-pro-14-inch-m3-pro-2023,https://cdn.tgdd.vn/Products/Images/44/318230/apple-macbook-pro-14-inch-m3-pro-2023-311023-105253-600x600.jpg
32.990.000₫,32.190.000₫,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-2024,https://cdn.tgdd.vn/Products/Images/44/322616/macbook-air-15-inch-m3-2024-xanh-600x600.jpg
64.990.000₫,64.490.000₫,https://www.thegioididong.com/laptop/apple-macbook-pro-16-inch-m3-pro-2023-12-core?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/318233/apple-macbook-pro-16-inch-m3-pro-2023-12-core-311023-033651-600x600.jpg
109.990.000₫,107.990.000₫,https://www.thegioididong.com/laptop/apple-macbook-pro-16-inch-m3-max-96gb-1tb?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/325307/apple-macbook-pro-16-inch-m3-max-96gb-1tb-thumb-600x600.jpg
